times,stress 3 C: 2,stress 4 C: 2,stress 5 C: 2,stress 10 C: 2,stress 11 C: 0.12,stress 8 C: 2,stress 9 C: 2,stress 12 C: 1,stress 13 C: 1,stress 20 C: 1,stress 21 C: 0.1,stress 16 C: 0.1,stress 17 C: 1,stress 18 C: 1,stress 19 C: 1,stress 22 C: 1,stress 23 C: 1,stress 24 C: 1,stress 25 C: 0.1,stress 26 C: 2,stress 40 C: 1,stress 44 C: 1,stress 30 C: 0.1,stress 32 C: 1,stress 35 C: 0.1,stress 37 C: 2,stress 38 C: 2,stress 39 C: 2
370,NaN,NaN,NaN,NaN,-0.202640669970395,NaN,NaN,-0.12203313276241,-0.143583631620011,-0.206492844232629,-0.269552146760752,-0.220779823899524,-0.22358983369422,-0.244038564130603,-0.255929314343866,-0.256008867258367,-0.250307804624327,-0.26935905594671,-0.334432538594069,NaN,-0.330436360157939,-0.24662868581281,-0.215399564998619,-0.264223741884551,-0.323886299003016,NaN,NaN,NaN
380,-0.375927441479075,-0.320190801281981,-0.27649297263312,-0.16742764238011,-0.230859101781989,-0.274171299775259,-0.205923088588082,-0.11862318905716,-0.154858156667917,-0.241722651439698,-0.270806986609981,-0.244688022954875,-0.255947947231758,-0.261617591911684,-0.252735426987869,-0.255815400781263,-0.249831589082303,-0.266007640546573,-0.332954680106832,NaN,-0.330883023539059,-0.254840680355517,-0.234631635475007,-0.251762747664761,-0.328229965771808,NaN,NaN,NaN
390,NaN,NaN,NaN,NaN,-0.267060123226223,NaN,NaN,-0.134084791987374,-0.163640532960273,-0.235544621937509,-0.285005172051042,-0.26797512574716,-0.23249492658694,-0.267594766896542,-0.254603098512792,-0.243809710193026,-0.272655374097705,-0.291784137231951,-0.359406243315231,NaN,-0.357369398191234,-0.25688341086749,-0.222289476003937,-0.294243352859035,-0.338256412905607,NaN,NaN,NaN
400,-0.419742401870773,-0.324256352163622,-0.277203576881838,-0.148928365317321,-0.269113372303941,-0.262338288974677,-0.156873639085768,-0.13229629771389,-0.181841658772586,-0.26130872174183,-0.284756483103775,-0.259677980910323,-0.276047924603168,-0.292929859483673,-0.270327978639194,-0.265113437237188,-0.286785063640399,-0.288545671192556,-0.351293048157919,NaN,-0.355881021138252,-0.296413934033224,-0.244349788455648,-0.288676276717229,-0.319309971577615,NaN,NaN,NaN
410,NaN,NaN,NaN,NaN,-0.288165875836533,NaN,NaN,-0.120653660431199,-0.188130133215102,-0.248075489486894,-0.310069286349207,-0.294044013516057,-0.260175659335308,-0.274840556042916,-0.29009298978002,-0.261148814498295,-0.299851251053616,-0.307437015271405,-0.387324269897976,NaN,-0.37998494064908,-0.278876354410021,-0.253076190951716,-0.313209203445247,-0.309801062922697,NaN,NaN,NaN
420,-0.456870058868773,-0.334257379430203,-0.319421806471273,-0.177428168762607,-0.275322206177241,-0.264661639794216,-0.145512836754545,-0.112669643278923,-0.169121331818762,-0.277744982487279,-0.32737382965274,-0.293064910354584,-0.314279404899338,-0.302317679411497,-0.298506214503119,-0.296633822145712,-0.314154872594173,-0.316090539133379,-0.379662120857511,NaN,-0.404781081962776,NaN,-0.252590959496196,-0.310134902164095,-0.321588493271715,NaN,NaN,NaN
430,NaN,NaN,NaN,NaN,-0.306651754250098,NaN,NaN,-0.141302268660949,-0.201404062301791,-0.279576715579239,-0.320668995316133,-0.303967528970775,-0.300869986668166,-0.333126308037912,-0.299649983306917,-0.267434659299374,-0.307081262351371,-0.298224129109609,-0.396754539751844,NaN,-0.387558307985812,NaN,-0.277381215421916,-0.284069520583779,-0.339454402411402,NaN,NaN,NaN
440,-0.462316547167569,-0.363957927243741,-0.352189182375444,NaN,-0.337342299453917,-0.24978287810522,-0.153299205047623,-0.126276597670375,-0.209512749502355,-0.320045394632652,-0.331774346764966,-0.289698343210932,-0.314193503279083,-0.333529644945842,-0.304078049043715,-0.27973912724319,-0.306526658450339,-0.334620119683196,-0.417117230824849,NaN,-0.382902715654258,NaN,-0.285977763719435,-0.311561545253833,-0.341780633314419,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,-0.355965545327277,NaN,NaN,-0.137781303998677,-0.200502345731159,-0.327319358508701,-0.351547747714184,-0.320896659654012,-0.337925892021259,-0.35754027479619,-0.304061144205909,-0.289814661017134,-0.315727398173119,-0.349752579160292,-0.425880197858985,NaN,-0.392749345402218,NaN,-0.318852413967687,-0.310495789145981,-0.341830346059669,NaN,NaN,NaN
460,-0.469621941519833,-0.383268260858117,-0.377144689977866,NaN,-0.361406523901159,-0.212140562711816,NaN,-0.153576057454674,-0.206085450163625,-0.307635615810361,-0.341545468237396,-0.304263801905939,-0.359306880435242,-0.35299625439415,-0.333620067044947,-0.290472947923371,-0.324797031487143,-0.351291295063628,-0.435317855753079,NaN,-0.416296532254662,NaN,-0.328118769505356,-0.317535840155214,-0.353026858411629,NaN,NaN,NaN
