time_s,stress_MPa,ox_red,NsChanges,x_Q_Qo__mA_h,Ewe_V,halfCycle,x_I__mA,cycleNumber
363390,-0.387144311836145,0,0,-11.794499869011,0.06739118,10,-0.399033171406265,5
363400,-0.370040735142054,0,0,-11.7956082398807,0.067429349,10,-0.399013462412933,5
363410,-0.392705445943378,0,0,-11.7967166083909,0.067238495,10,-0.399012613129729,5
363420,-0.392312201891033,0,0,-11.7978249958387,0.067295752,10,-0.399019430769324,5
363430,-0.384190907369504,0,0,-11.798933430027,0.067257583,10,-0.399036257382025,5
363440,-0.377144293739453,0,0,-11.8000418433835,0.067200325,10,-0.399028757514925,5
363450,-0.387006806082328,0,0,-11.8011502556147,0.067333922,10,-0.399028352611099,5
363460,-0.407284523797981,0,0,-11.8022586682389,0.067238495,10,-0.399028493956936,5
363470,-0.392958729056032,0,0,-11.8033670840654,0.067219406,10,-0.399029647253583,5
363480,-0.377884394176048,0,0,-11.804475510428,0.067200325,10,-0.399033439968659,5
363490,-0.385452642734705,0,0,-11.8055839302438,0.067009471,10,-0.399031083314622,5
363500,-0.355543645150707,0,0,-11.8066923283323,0.067143068,10,-0.39902326129758,5
363510,-0.422394244044364,0,0,-11.8078007139449,0.06702856,10,-0.399018769997104,5
363520,-0.411063561239079,0,0,-11.8089091046141,0.066933133,10,-0.399020590443072,5
363530,-0.380700354268519,0,0,-11.8100174999165,0.066971302,10,-0.39902225830773,5
363540,-0.46385295770337,0,0,-11.8111258707083,0.067009471,10,-0.399013434460743,5
363550,-0.409264201547271,0,0,-11.8122342652215,0.066933133,10,-0.399021974258859,5
363560,-0.408250685473861,0,0,-11.813342658027,0.066894963,10,-0.399021359415587,5
363570,-0.426307027735909,0,0,-11.8144510208364,0.066818617,10,-0.399010561019616,5
363580,-0.383346446188382,0,0,-11.8155594208909,0.06672319,10,-0.399023969192629,5
363590,-0.430504766437875,0,0,-11.816667813512,0.066799536,10,-0.399021293212122,5
363600,-0.425809376904303,0,0,-11.817776177821,0.066704109,10,-0.39901110076224,5
363610,-0.38697367641795,0,0,-11.8188845660506,0.06672319,10,-0.399019712172941,5
363620,-0.433081407287346,0,0,-11.819992973483,0.06672319,10,-0.39902662507028,5
363630,-0.414774191063781,0,0,-11.8211013621188,0.06672319,10,-0.399019858319335,5
363640,-0.437268297136733,0,0,-11.8222097490501,0.066608682,10,-0.39901924476531,5
363650,-0.426802775798464,0,0,-11.8233181557363,0.066551425,10,-0.399026356407155,5
363660,-0.446918113658422,0,0,-11.8244265519998,0.066589594,10,-0.399022604621986,5
363670,-0.415915039214545,0,0,-11.8255349446914,0.066704109,10,-0.399021318697872,5
363680,-0.427320298290732,0,0,-11.8266433308343,0.066589594,10,-0.399018960931613,5
363690,-0.444855864939231,0,0,-11.8277517340507,0.066494174,10,-0.399025107401555,5
363700,-0.430873427941663,0,0,-11.8288600949675,0.066436917,10,-0.399009879661147,5
